,branch_code,item_cat,ym,CPI,temp,sales,m,promotion,year,ur,fuel
0,1,1,2012-05,94.67492916717977,15.353203807123656,12352.010999999997,5,1,2012,12.2,620.0
1,1,16,2012-05,94.67492916717977,15.353203807123656,551.1279999999999,5,1,2012,12.2,620.0
2,1,18,2012-05,94.67492916717977,15.353203807123656,114.0,5,1,2012,12.2,620.0
3,1,21,2012-05,94.67492916717977,15.353203807123656,15364.109,5,1,2012,12.2,620.0
4,1,25,2012-05,94.67492916717977,15.353203807123656,1877.0339999999999,5,1,2012,12.2,620.0
5,1,29,2012-05,94.67492916717977,15.353203807123656,10935.007000000003,5,1,2012,12.2,620.0
6,1,33,2012-05,94.67492916717977,15.353203807123656,761.75,5,1,2012,12.2,620.0
7,1,34,2012-05,94.67492916717977,15.353203807123656,6391.628,5,1,2012,12.2,620.0
8,1,37,2012-05,94.67492916717977,15.353203807123656,439.584,5,1,2012,12.2,620.0
9,1,48,2012-05,94.67492916717977,15.353203807123656,3395.839,5,1,2012,12.2,620.0
10,1,102,2012-05,94.67492916717977,15.353203807123656,104.16000000000003,5,1,2012,12.2,620.0
11,2,1,2012-05,94.67492916717977,15.353203807123656,25949.829000000016,5,1,2012,12.2,620.0
12,2,16,2012-05,94.67492916717977,15.353203807123656,1715.4879999999998,5,1,2012,12.2,620.0
13,2,18,2012-05,94.67492916717977,15.353203807123656,333.117,5,1,2012,12.2,620.0
14,2,21,2012-05,94.67492916717977,15.353203807123656,21146.853,5,1,2012,12.2,620.0
15,2,25,2012-05,94.67492916717977,15.353203807123656,8265.145,5,1,2012,12.2,620.0
16,2,29,2012-05,94.67492916717977,15.353203807123656,22118.010000000002,5,1,2012,12.2,620.0
17,2,30,2012-05,94.67492916717977,15.353203807123656,2457.6569999999997,5,1,2012,12.2,620.0
18,2,31,2012-05,94.67492916717977,15.353203807123656,3391.368,5,1,2012,12.2,620.0
19,2,32,2012-05,94.67492916717977,15.353203807123656,290.167,5,1,2012,12.2,620.0
20,2,33,2012-05,94.67492916717977,15.353203807123656,761.75,5,1,2012,12.2,620.0
21,2,34,2012-05,94.67492916717977,15.353203807123656,10577.74,5,1,2012,12.2,620.0
22,2,36,2012-05,94.67492916717977,15.353203807123656,119.81099999999999,5,1,2012,12.2,620.0
23,2,37,2012-05,94.67492916717977,15.353203807123656,1054.499,5,1,2012,12.2,620.0
24,2,48,2012-05,94.67492916717977,15.353203807123656,4018.97,5,1,2012,12.2,620.0
25,2,102,2012-05,94.67492916717977,15.353203807123656,112.84000000000003,5,1,2012,12.2,620.0
26,9,1,2012-05,94.67492916717977,15.353203807123656,2853.943,5,1,2012,12.2,620.0
27,9,21,2012-05,94.67492916717977,15.353203807123656,2987.821,5,1,2012,12.2,620.0
28,9,25,2012-05,94.67492916717977,15.353203807123656,429.921,5,1,2012,12.2,620.0
29,9,29,2012-05,94.67492916717977,15.353203807123656,4256.421,5,1,2012,12.2,620.0
30,9,37,2012-05,94.67492916717977,15.353203807123656,210.318,5,1,2012,12.2,620.0
31,9,102,2012-05,94.67492916717977,15.353203807123656,26.04,5,1,2012,12.2,620.0
32,10,1,2012-05,94.67492916717977,15.353203807123656,5350.227999999999,5,1,2012,12.2,620.0
33,10,16,2012-05,94.67492916717977,15.353203807123656,721.292,5,1,2012,12.2,620.0
